"id","name","description","category_group"
"2afeb6ae-71df-4387-ab4d-86355d14112e","Electrical Cables & Wires","Power cables, data cables, and electrical wiring","Electrical"
"60be5b93-8b1e-461b-b6c4-e90c8142d07e","Electrical Fittings","Power points, light switches, and electrical outlets","Electrical"
"fba82864-fc29-46c9-99ef-c218b84e6f31","Lighting Fixtures","Light fittings, LED lights, and lighting systems","Electrical"
"33b88a43-4e3e-40da-8197-c85da508d28d","Electrical Accessories","Circuit breakers, junction boxes, and electrical hardware","Electrical"
"cda147d1-280d-44b3-9808-aa5762c88fec","Home Automation","Smart switches, sensors, and home automation systems","Electrical"
"183e7bf3-8d9d-48bb-98e7-a562a999f3cb","Floor Preparation","Underlay, floor leveling compounds, and floor preparation materials","Flooring"
"a9fbdffe-efc6-408c-a2c8-52279b0852a5","Floor Finishes","Stains, varnishes, sealers, and floor finishing products","Flooring"
"f3ba8748-de31-43fd-b2c4-b17fb6d6191f","Internal Doors","Internal doors, door frames, and interior door hardware","Interior"
"b486ffd7-c475-4251-b28b-fe510cdda71c","Interior Finishes","Internal paint, wallpaper, and interior finishing materials","Interior"
"f257249a-0515-4e16-b59b-d3edb1802760","Kitchen Cabinetry","Kitchen cabinets, benchtops, and kitchen storage solutions","Interior"
"ec6f9179-ac8a-417b-8d46-8eccff2e03ef","Bathroom Vanities","Bathroom vanities, mirrors, and bathroom storage","Interior"
"84b54b92-e10c-48f6-aed8-c502dedf33c8","Wardrobes & Storage","Built-in wardrobes, storage systems, and custom storage solutions","Interior"
"1e123041-6048-43f1-bd56-54536efd8dbd","Wall Insulation","Wall insulation batts, cavity insulation, and thermal barriers","Insulation & Energy"
"ef53823d-da66-45b6-9a2a-edc52a5c785f","Floor Insulation","Floor insulation, underfloor insulation, and thermal flooring","Insulation & Energy"
"9b580cce-059f-4f44-a73c-1da154a23f8f","Solar Systems","Solar panels, inverters, and renewable energy systems","Insulation & Energy"
"ae1fba08-6ac5-4515-bb39-9b5294747a2c","Energy Efficiency","Double glazing, thermal breaks, and energy efficiency products","Insulation & Energy"
"2e6f09ee-2af5-4f74-bb56-0bfe7f842d6d","Structural Fasteners","Bolts, screws, nails, and structural connection hardware","Hardware & Fasteners"
"95174c41-fceb-4e6a-8004-94e484afd50d","General Hardware","Screws, nails, brackets, and general construction hardware","Hardware & Fasteners"
"22cec27f-5477-487f-8580-892a070008fb","Adhesives & Sealants","Construction adhesives, sealants, and bonding materials","Hardware & Fasteners"
"ae70a727-9442-4db1-aa1a-f8f0680a01bf","Site Preparation","Site clearing, excavation, and site preparation materials","Site & Safety"
"9945a08d-063c-49f5-aa52-4bce2d68e38f","Drainage & Stormwater","Stormwater pipes, drains, and drainage system components","Site & Safety"
"931d2147-e33b-46b6-a44f-e45ca72687fd","Landscaping Materials","Garden soil, mulch, plants, and landscaping supplies","Site & Safety"
"df023c3c-e30b-44fb-8101-f4f3a50b2e3a","Safety Equipment","Safety barriers, signage, and construction safety equipment","Site & Safety"
"6463b929-83e8-4e47-afd3-f739f2484186","Laundry Fixtures","Washing machine connections, laundry tubs, and laundry fixtures","Appliances & Fixtures"
"32fa7046-36f0-4369-a276-4da3c3ad2452","HVAC Systems","Air conditioning, heating, and ventilation systems","Appliances & Fixtures"
"c13cb462-9efb-41a0-83bf-943fb5a4cd4c","Decorative Elements","Moldings, trim, architraves, and decorative building elements","Finishing Touches"
"ab64e544-a34e-4e2a-9cff-978a7ab82048","Security Systems","Security cameras, alarms, and home security systems","Finishing Touches"
"99d86378-1454-4b76-8cf7-d572fca86a9d","Outdoor Living","Decking, pergolas, outdoor kitchens, and outdoor living features","Finishing Touches"
"ce918ff3-6758-48b5-85d5-608580742a70","Fire Safety","Smoke alarms, fire extinguishers, and fire safety equipment","Specialized"
"05ccfb99-f226-456d-895f-c01498926bc6","Accessibility Features","Handrails, ramps, and accessibility modifications","Specialized"
"778160eb-36c4-4074-88b4-9137cbd041b4","Pool & Spa","Pool equipment, spa systems, and water feature components","Specialized"
"69bbf2c5-7044-46cb-9304-9fb04c6f901c","Garage & Shed","Garage doors, shed materials, and external storage solutions","Specialized"
"cae69649-63e0-4c8c-930a-b8070236779c","Flooring Materials","Timber flooring, tiles, carpets, and floor covering materials","Flooring"
"452e8013-0d86-4b5e-a320-871a56a6f99d","Kitchen Appliances","Dishwashers, ovens, cooktops, and kitchen appliances","Appliances & Fixtures"
"92893d80-c165-4908-baf7-f148af52aeba","Roofing Materials","Roof tiles, metal roofing, shingles, and roof covering materials","Roofing"
